Name, N, e, time (s)
SCC, 2048, 0.50, 0.0154
Tree, 2048, 0.50, 0.0566
FW, 2048, 0.50, 0.0264
Dijkstra, 2048, 0.50, 0.0489
Toroslu, 2048, 0.50, 0.0188
Uniform, 2048, 0.50, 0.0697
Hidden, 2048, 0.50, 0.0407
SCC, 2048, 0.60, 0.0152
Tree, 2048, 0.60, 0.0533
FW, 2048, 0.60, 0.0268
Dijkstra, 2048, 0.60, 0.0491
Toroslu, 2048, 0.60, 0.0190
Uniform, 2048, 0.60, 0.0660
Hidden, 2048, 0.60, 0.0406
SCC, 2048, 0.70, 0.0153
Tree, 2048, 0.70, 0.0542
FW, 2048, 0.70, 0.0274
Dijkstra, 2048, 0.70, 0.0487
Toroslu, 2048, 0.70, 0.0190
Uniform, 2048, 0.70, 0.0662
Hidden, 2048, 0.70, 0.0403
SCC, 2048, 0.80, 0.0154
Tree, 2048, 0.80, 0.0535
FW, 2048, 0.80, 0.0277
Dijkstra, 2048, 0.80, 0.0489
Toroslu, 2048, 0.80, 0.0200
Uniform, 2048, 0.80, 0.0674
Hidden, 2048, 0.80, 0.0405
SCC, 2048, 0.90, 0.0159
Tree, 2048, 0.90, 0.0530
FW, 2048, 0.90, 0.0305
Dijkstra, 2048, 0.90, 0.0506
Toroslu, 2048, 0.90, 0.0218
Uniform, 2048, 0.90, 0.0732
Hidden, 2048, 0.90, 0.0439
SCC, 2048, 1.00, 0.0177
Tree, 2048, 1.00, 0.0558
FW, 2048, 1.00, 0.0575
Dijkstra, 2048, 1.00, 0.0833
Toroslu, 2048, 1.00, 0.0235
Uniform, 2048, 1.00, 0.2350
Hidden, 2048, 1.00, 0.1713
SCC, 2048, 1.10, 0.1337
Tree, 2048, 1.10, 0.1855
FW, 2048, 1.10, 3.4573
Dijkstra, 2048, 1.10, 6.5883
Toroslu, 2048, 1.10, 1.2216
Uniform, 2048, 1.10, 19.7956
Hidden, 2048, 1.10, 16.4584
SCC, 4096, 0.50, 0.0626
Tree, 4096, 0.50, 0.3154
FW, 4096, 0.50, 0.1595
Dijkstra, 4096, 0.50, 0.1930
Toroslu, 4096, 0.50, 0.0743
Uniform, 4096, 0.50, 0.2945
Hidden, 4096, 0.50, 0.1581
SCC, 4096, 0.60, 0.0617
Tree, 4096, 0.60, 0.3115
FW, 4096, 0.60, 0.1612
Dijkstra, 4096, 0.60, 0.1925
Toroslu, 4096, 0.60, 0.0743
Uniform, 4096, 0.60, 0.2899
Hidden, 4096, 0.60, 0.1575
SCC, 4096, 0.70, 0.0618
Tree, 4096, 0.70, 0.3189
FW, 4096, 0.70, 0.1619
Dijkstra, 4096, 0.70, 0.1925
Toroslu, 4096, 0.70, 0.0741
Uniform, 4096, 0.70, 0.2918
Hidden, 4096, 0.70, 0.1599
SCC, 4096, 0.80, 0.0623
Tree, 4096, 0.80, 0.3130
FW, 4096, 0.80, 0.1663
Dijkstra, 4096, 0.80, 0.1941
Toroslu, 4096, 0.80, 0.0774
Uniform, 4096, 0.80, 0.3016
Hidden, 4096, 0.80, 0.1613
SCC, 4096, 0.90, 0.0647
Tree, 4096, 0.90, 0.3150
FW, 4096, 0.90, 0.1788
Dijkstra, 4096, 0.90, 0.1940
Toroslu, 4096, 0.90, 0.0821
Uniform, 4096, 0.90, 0.3154
Hidden, 4096, 0.90, 0.1690
SCC, 4096, 1.00, 0.0707
Tree, 4096, 1.00, 0.3255
FW, 4096, 1.00, 0.2787
Dijkstra, 4096, 1.00, 0.2845
Toroslu, 4096, 1.00, 0.0962
Uniform, 4096, 1.00, 0.7956
Hidden, 4096, 1.00, 0.5195
SCC, 4096, 1.10, 0.9832
Tree, 4096, 1.10, 1.6016
FW, 4096, 1.10, 31.9332
Dijkstra, 4096, 1.10, 32.5593
Toroslu, 4096, 1.10, 13.4928
Uniform, 4096, 1.10, 112.2751
Hidden, 4096, 1.10, 87.0543
