algorithm, time, V, E, id, wccV, wccE, sccV, sccE
Dijkstra, 84.532, 8717, 31525, 4.00, 8717, 31525, 3226, 13589
Toroslu, 47.398, 8717, 31525, 4.00, 8717, 31525, 3226, 13589
Tree, 4.925, 8717, 31525, 4.00, 8717, 31525, 3226, 13589
SCC, 3.289, 8717, 31525, 4.00, 8717, 31525, 3226, 13589
Dijkstra, 144.166, 10876, 39991, 5.00, 10873, 39991, 4317, 18742
Toroslu, 111.391, 10876, 39991, 5.00, 10873, 39991, 4317, 18742
Tree, 8.474, 10876, 39991, 5.00, 10873, 39991, 4317, 18742
SCC, 9.852, 10876, 39991, 5.00, 10873, 39991, 4317, 18742
Dijkstra, 85.201, 8846, 31839, 6.00, 8842, 31837, 3234, 13453
Toroslu, 43.457, 8846, 31839, 6.00, 8842, 31837, 3234, 13453
Tree, 5.159, 8846, 31839, 6.00, 8842, 31837, 3234, 13453
SCC, 3.535, 8846, 31839, 6.00, 8842, 31837, 3234, 13453
Dijkstra, 36.539, 6301, 20777, 8.00, 6299, 20776, 2068, 9313
Toroslu, 9.781, 6301, 20777, 8.00, 6299, 20776, 2068, 9313
Tree, 1.694, 6301, 20777, 8.00, 6299, 20776, 2068, 9313
SCC, 0.956, 6301, 20777, 8.00, 6299, 20776, 2068, 9313
Dijkstra, 61.178, 8114, 26013, 9.00, 8104, 26008, 2624, 10776
Toroslu, 22.908, 8114, 26013, 9.00, 8104, 26008, 2624, 10776
Tree, 3.292, 8114, 26013, 9.00, 8104, 26008, 2624, 10776
SCC, 1.842, 8114, 26013, 9.00, 8104, 26008, 2624, 10776
Dijkstra, 391.162, 22687, 54705, 24.00, 22663, 54693, 5153, 17695
Toroslu, 319.434, 22687, 54705, 24.00, 22663, 54693, 5153, 17695
Tree, 26.063, 22687, 54705, 24.00, 22663, 54693, 5153, 17695
SCC, 12.123, 22687, 54705, 24.00, 22663, 54693, 5153, 17695
Dijkstra, 573.398, 26518, 65369, 25.00, 26498, 65359, 6352, 22928
Toroslu, 601.366, 26518, 65369, 25.00, 26498, 65359, 6352, 22928
Tree, 38.241, 26518, 65369, 25.00, 26498, 65359, 6352, 22928
SCC, 18.556, 26518, 65369, 25.00, 26498, 65359, 6352, 22928
